state,days,08/08/20,x100
Alabama,13,08/21/20,
Alaska,15,08/23/20,
Arkansas,17,08/25/20,
Arizona,7,08/15/20,
California,13,08/21/20,
Colorado,8,08/16/20,
Connecticut,16,08/24/20,
Delaware,25,09/02/20,
Florida,21,08/29/20,
Georgia,15,08/23/20,
Hawaii,21,08/29/20,
Iowa,7,08/15/20,
Idaho,11,08/19/20,
Illinois,24,09/01/20,
Indiana,13,08/21/20,
Kansas,30,09/07/20,1
Kentucky,13,08/21/20,1
Louisiana,7,08/15/20,
Maine,17,08/25/20,
Maryland,11,08/19/20,
Massachusetts,13,08/21/20,
Michigan,13,08/21/20,
Minnesota,21,08/29/20,
Missouri,8,08/16/20,
Mississippi,14,08/22/20,
Montana,10,08/18/20,1
North Carolina,13,08/21/20,
North Dakota,23,08/31/20,
Nebraska,0,,
New Hampshire,16,08/24/20,
New Jersey,27,09/04/20,
New Mexico,7,08/15/20,
Nevada,0,,
New York,15,08/23/20,
Ohio,18,08/26/20,
Oklahoma,10,08/18/20,
Oregon,20,08/28/20,
Pennsylvania,16,08/24/20,
Rhode Island,14,08/22/20,
South Carolina,24,09/01/20,
South Dakota,0,,
Tennessee,14,08/22/20,
Texas,13,08/21/20,
Utah,8,08/16/20,
Virginia,18,08/26/20,
Vermont,14,08/22/20,1
Washington,16,08/24/20,
Wisconsin,24,09/01/20,
West Virginia,19,08/27/20,1
Wyoming,20,08/28/20,
DC,31,09/08/20,
Guam,31,09/08/20,
